Titel;Author                   ;My Rating ;Average Rating ;Bookshelves       ;Serie;Serien Nr.;ISBN Combined;Book Id  ;Publisher                                   ;Binding               ;Number of Pages ;Year Published ;Original Publication Year ;Date Read  ;Date Added ;My Review                                                                                                                                                                                                                                                                                                            ;Private Notes ;Read Count ;PublishedDate ;PageCount ;Categories                              ;Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;ImageURL
Die Farben der Magie ;Terry Pratchett          ;3;          4.0  ;read;Scheibenwelt;1;9783492285100;1237017;Piper Verlag                                ;Paperback             ;270;2004;1983;           ;22.08.2020;Herrlicher Humor, sehr hintersinnig, ...                                                                                                                                                                                                                                                                           ;              ;1;12.11.2012;470;Fiction                                 ;Drei unnachahmlich unterhaltsame Sachbücher aus Sicht der Gelehrten der Scheibenwelt â€“ unverzichtbar für alle Terry-Pratchett-Jünger: Als Ergebnis eines missglückten Experiments besitzen die Zauberer der Unsichtbaren UniversitÃ¤t plötzlich ein Miniaturweltall: die irdische Rundwelt. Unter Führung der weisen Magier verfolgen wir die Geschichte unseres Universums vom Urknall bis zum Internet und darüber hinaus.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;http://books.google.com/books/content?id=N-wUAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Der Zauberhut ;Terry Pratchett          ;3;          3.91 ;read;;5;9783492285179;1502769;Piper ebooks                                ;Paperback             ;368;2004;1988;18.09.2020;22.08.2020;                                                                                                                                                                                                                                                                                                                     ;              ;2;08.06.2015;411;Fiction                                 ;Die Scheibenwelt gerÃ¤t in gröÃŸte Gefahr, als der junge Münze, achter Sohn eines Magiers, den Vorsitz an der Unsichtbaren UniversitÃ¤t an sich reiÃŸt. Der Zauberhut, magisches Relikt und Zierde des Erzkanzlers, muss vor dem neuen Herrscher in Sicherheit gebracht werden. Doch ausgerechnet der tolpatschige Rincewind wird für dieses Vorhaben auserwÃ¤hlt. Und gemeinsam mit der schönen Barbarenfriseuse Conina schlittert er in ein haarstrÃ¤ubendes Abenteuer ...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;http://books.google.com/books/content?id=pdBvCQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Going Postal ;Terry Pratchett          ;0;;to-read           ;Discworld;33;0;64222;;;;;;;;;;;;;;;
Guards! Guards! ;Terry Pratchett          ;0;;to-read           ;Discworld;8;0;64216;;;;;;;;;;;;;;;
Iron and Magic ;Terry Pratchett          ;0;;to-read           ;;;0;35126152;;;;;;;;;;;;;;;
Night Watch ;Terry Pratchett          ;0;;to-read           ;;;0;47989;;;;;;;;;;;;;;;
Red Dragon ;Thomas  Harris           ;3;          4.05 ;read;Hannibal Lecter;1;                  ;28877;                                            ;Hardcover             ;454;2000;1981;           ;09.05.2015;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Rubikon: Triumph und Tragödie der Römischen Republik;Tom Holland              ;0;          4.21 ;to-read           ;;;9783608108187;26182929;Klett-Cotta                                 ;Kindle Edition        ;463;2015;2003;           ;09.06.2018;                                                                                                                                                                                                                                                                                                                     ;              ;0;18.08.2015;371;History                                 ;Aufstieg und Untergang der Römischen Republik: Mit stilistischer Brillanz und historischem Scharfsinn erzÃ¤hlt Tom Holland die römische Geschichte von ihren etruskischen AnfÃ¤ngen bis zur Ermordung Caesars. Â»ErzÃ¤hlte Geschichte vom Feinsten. Ein Buch, das mich wirklich gefesselt hat.Â« Ian McEwan Â»Eine atemberaubende und glÃ¤nzend geschriebene Gesamtschau der MachtkÃ¤mpfe im Rom von Caesar und Cicero.Â« Uwe Walter Â»Eine packende, spannende und ungemein unterhaltsame Darstellung der römischen Republik.Â« Books of the Year, Sunday Times Â»Tom Holland erzÃ¤hlt den Untergang der römischen Republik neu: ein geistreiches Werk. Hochaktuell.Â« Independent on Sunday                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;http://books.google.com/books/content?id=XEDXCQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Children of Blood and Bone ;Tomi Adeyemi             ;0;          4.11 ;to-read           ;Legacy of OrÃ¯sha;1;9781250170972;34728667;Henry Holt and Company (BYR)                ;Hardcover             ;544;2018;2018;           ;29.08.2022;                                                                                                                                                                                                                                                                                                                     ;              ;0;06.03.2018;543;Young Adult Fiction                     ;"Instant New York Times Bestseller TIME Top 100 Fantasy Books of All Time TIME Best YA Books of All Time TIME 100: Most Influential People of 2020 New York Times Notable Children's Books of 2018 TIME Top 10 Best YA and Children's Books of 2018 NPR's Book Concierge 2018 Great Reads List Buzzfeed's 24 Best YA Books of 2018 Bustle's Top 25 Best Young Adults Books of 2018 2018 Kirkus Prize Finalist YALSA William C. Morris YA Debut Award Finalist Paste Magazineâ€™s 30 Best YA Novels of 2018 Newsweekâ€™s 61 Best Books from 2018 Boston Globeâ€™s Best Children's Books of 2018 Publishers Weekly Best YA Books of 2018 School Library Journal Best Books of 2018 2019 YALSA Teen's Top Ten List With five starred reviews, Tomi Adeyemiâ€™s West African-inspired fantasy debut, and instant #1 New York Times Bestseller, conjures a world of magic and danger, perfect for fans of Leigh Bardugo and Sabaa Tahir. They killed my mother. They took our magic. They tried to bury us. Now we rise. ZÃ©lie Adebola remembers when the soil of OrÃ¯sha hummed with magic. Burners ignited flames, Tiders beckoned waves, and ZÃ©lieâ€™s Reaper mother summoned forth souls. But everything changed the night magic disappeared. Under the orders of a ruthless king, maji were killed, leaving ZÃ©lie without a mother and her people without hope. Now ZÃ©lie has one chance to bring back magic and strike against the monarchy. With the help of a rogue princess, ZÃ©lie must outwit and outrun the crown prince, who is hell-bent on eradicating magic for good. Danger lurks in OrÃ¯sha, where snow leoponaires prowl and vengeful spirits wait in the waters. Yet the greatest danger may be ZÃ©lie herself as she struggles to control her powers and her growing feelings for an enemy. Praise for Children of Blood and Bone ""A phenomenon."" â€”Entertainment Weekly â€œThe epic Iâ€™ve been waiting for.â€ â€”New York Times-bestselling author Marie Lu â€œYou will be changed. You will be ready to rise up and reclaim your own magic!â€ â€”New York Times-bestselling author Dhonielle Clayton â€œThe next big thing in literature and film.â€ â€”Ebony â€œOne of the biggest young adult fiction debut book deals of the year.â€ â€”Teen Vogue This title has Common Core connections. #1 New York Times bestseller, March 14, 2018                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ";http://books.google.com/books/content?id=vuguDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Ahren ;Torsten Weitze           ;3;          4.38 ;read;The 13th Paladin;1;1790804418;43228888;Independently Published                     ;Kindle Edition        ;379;2018;2017;           ;20.04.2021;                                                                                                                                                                                                                                                                                                                     ;              ;1;09.12.2018;382;Fiction                                 ;Ahren can hardly believe his luck. His normal life consists of being beaten up by his drunkard father or bullied by the village lads. But at the annual suitability tests for apprenticeships, the young boy finds himself selected by Falk, the guardian of the forest, to be his apprentice and his world is turned upside down.From his new master he learns the skills of archery and how to fight the Dark Ones. And then, on the day of the Spring Ceremony there is another unexpected turn of events. He touches the Stone of the Gods and it illuminates for the first time ever. It isn't long before a cantankerous wizard turns up and urges Falk and Ahren into action. There is no time to waste, for something evil is awakening.The unlikely trio begin their dangerous journey to Evergreen, the elfish kingdom to get the elves' help. But time is running out. HE, WHO FORCES has his eyes trained on Ahren and nothing will stop him from destroying the young man.Let yourself be swept into the fantastic world of Jorath by diving into AHREN, THE THIRTEENTH PALADIN (volume 1). For all fans of J.R.R. Tolkien's THE LORD OF THE RINGS and David Edding's BELGARIAD.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;http://books.google.com/books/content?id=KDDBvwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Die Heilerin ;Trudi Canavan            ;3;          4.04 ;read;Sonea;2;9783764530426;10117050;                                            ;Hardcover             ;576;2011;2011;           ;20.10.2019;                                                                                                                                                                                                                                                                                                                     ;              ;1;17.03.2014;572;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;http://books.google.com/books/content?id=QxAzmwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Die Königin ;Trudi Canavan            ;3;          4.03 ;read;Sonea;3;9783764530433;16058396;Penhaligon Verlag                           ;Hardcover             ;608;2012;2012;           ;20.10.2019;                                                                                                                                                                                                                                                                                                                     ;              ;1;12.11.2012;608;Fiction                                 ;Yes, we Canavan! Sonea, die Schwarze Magierin von Kyralia, ist überglücklich, als ihr Sohn Lorkin von den Sachakanischen Rebellen freigelassen wird. Endlich wird er nach Hause zurückkehren. Aber zuvor verlangt der König von Sachaka, dass der junge Mann alle Informationen preisgibt, die er über die VerrÃ¤terinnen hat. Doch Lorkin hat sich in eine der Rebellinnen verliebt und ist nicht bereit, sie auszuliefern. Der Sachakanische König droht, Lorkin sein Wissen mit Gewalt zu entreiÃŸen. Da bricht Sonea das oberste Gesetz für Schwarze Magier und verlÃ¤sst Kyralia. Sie wird ihren Sohn nicht im Stich lassen â€“ und hofft, dass ihr Eingreifen keinen Krieg auslöst ...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;http://books.google.com/books/content?id=MkAG7rtCfMEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Die Hüterin ;Trudi Canavan            ;3;          3.93 ;read;Sonea;1;9783442377251;10238585;Penhaligon Verlag                           ;Paperback             ;608;2011;2010;           ;20.10.2019;                                                                                                                                                                                                                                                                                                                     ;              ;1;28.07.2010;392;Fiction                                 ;Die Rückkehr der schwarzen Magierin Trudi Canavan kehrt dorthin zurück, wo ihr Aufsehen erregender Erfolg begann â€“ zu Sonea und der Gilde der Schwarzen Magier! Zwanzig Jahre sind seit den Ereignissen in der Trilogie â€žDie Gilde der Schwarzen Magierâ€ vergangen. Auf Wunsch der Gilde hat Sonea nur einem einzigen Magier das Geheimnis der Schwarzen Magie offenbart. Doch sie ist nicht glücklich mit der Wahl, die die Gilde dafür getroffen hat. Kallen ist zwar ein ehrenhafter, aber auch ein harter und zu schnell urteilender Mann. Vielmehr sorgt Sonea sich allerdings um ihren Sohn. Lorkin hat gerade die Abschlussprüfung hinter sich gebracht und brennt jetzt darauf, sich zu beweisen. Daher begleitet er den Botschafter der Gilde nach Sachaka, wo den Magiern Kyralias immer noch unzÃ¤hlige Gefahren drohen. Und tatsÃ¤chlich verschwindet Lorkin eines Tages ohne ein Wort der ErklÃ¤rung. Sonea ist beunruhigt, doch sie kann sich nicht einmal an der Suche nach Lorkin beteiligen. Denn in Kyralias Unterwelt tobt ein Krieg, in den auch Magier verwickelt zu sein scheinen â€“ und der alles, was in den Jahren des Friedens aufgebaut wurde, gefÃ¤hrdet ...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;http://books.google.com/books/content?id=TJGACvdqSHAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
The Name of the Rose ;Umberto Eco              ;4;          4.13 ;read;;;9780156001311;119073;Houghton Mifflin Harcourt                   ;Paperback             ;536;1994;1980;           ;18.09.2020;                                                                                                                                                                                                                                                                                                                     ;              ;1;2014;595;Fiction                                 ;In 1327, Brother William of Baskerville is sent to investigate charges of heresy against Franciscan monks at a wealthy Italian abbey but finds his mission overshadowed by seven bizarre murders.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;http://books.google.com/books/content?id=ChlOAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Worlds of Exile and Illusion: Rocannonâ€™s World, Planet of Exile, City of Illusions ;Ursula K. Le Guin        ;0;          4.24 ;to-read           ;Hainish Cycle;1-3;9780312862114;67999;                                            ;Paperback             ;370;1996;1966;           ;10.02.2020;                                                                                                                                                                                                                                                                                                                     ;              ;0;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Steering the Craft: Exercises and Discussions on Story Writing for the Lone Navigator or the Mutinous Crew ;Ursula K. Le Guin        ;0;          4.21 ;to-read           ;;;9780933377462;68024;The Eighth Mountain Press                   ;Paperback             ;173;1998;1998;           ;31.12.2019;                                                                                                                                                                                                                                                                                                                     ;              ;0;1998;178;Authorship                              ;Award-winning novelist Ursula K. Le Guin has turned a successful workshop into a self-guided voyage of discovery for a writer working alone, a writing group or a class.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;http://books.google.com/books/content?id=gjBr5SL0Z3AC&printsec=frontcover&img=1&zoom=5&source=gbs_api
